"จังหวัด","ผลผลิต(ตัน)","สัดส่วน","เนื้อที่เก็บเกี่ยว(ไร่)","ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)"
"จันทบุรี","155,838","62%","126,081","1,236.01"
"ตราด","46,052","18%","37,603","1,224.69"
"ระยอง","19,957","8%","20,661","965.93"
"นครศรีธรรมราช","10,245","4%","91,449","112.03"
"ระนอง","6,573","3%","14,693","447.36"
"ชุมพร","4,484","2%","48,966","91.57"
"สุราษฎร์ธานี","1,908","1%","11,169","170.83"
"พังงา","1,430","1%","12,771","111.97"
"ประจวบคีรีขันธ์","872","0%","1,402","621.97"
"ยะลา","748","0%","6,238","119.91"
"ปราจีนบุรี","596","0%","1,458","408.78"
"นราธิวาส","539","0%","23,447","22.99"
"สงขลา","464","0%","4,228","109.74"
"สตูล","429","0%","1,780","241.01"
"ชลบุรี","367","0%","632","580.70"
"ปัตตานี","347","0%","2,647","131.09"
"นครนายก","279","0%","639","436.62"
"กระบี่","223","0%","1,037","215.04"
"ตรัง","147","0%","3,470","42.36"
"เชียงราย","70","0%","404","173.27"
"นนทบุรี","26","0%","124","209.68"
"สระบุรี","25","0%","83","301.20"
"พัทลุง","8","0%","7,931","1.01"
"ภูเก็ต","5","0%","448","11.16"
"สุพรรณบุรี","3","0%","16","187.50"
