"จังหวัด","ผลผลิต(ตัน)","สัดส่วน","เนื้อที่เก็บเกี่ยว(ไร่)","ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)"
"จันทบุรี","71,695","26%","127,929","560.43"
"นครศรีธรรมราช","62,087","23%","90,016","689.73"
"ชุมพร","51,587","19%","48,974","1,053.35"
"ตราด","22,377","8%","37,561","595.75"
"ระยอง","12,724","5%","25,721","494.69"
"ระนอง","11,347","4%","14,647","774.70"
"นราธิวาส","8,747","3%","22,268","392.81"
"สุราษฎร์ธานี","7,291","3%","11,927","611.30"
"พังงา","5,827","2%","12,826","454.31"
"พัทลุง","4,345","2%","7,945","546.88"
"ยะลา","4,312","2%","6,531","660.24"
"สงขลา","2,306","1%","4,298","536.53"
"ตรัง","1,486","1%","3,432","432.98"
"ปัตตานี","1,398","1%","2,623","532.98"
"สตูล","1,114","0%","1,781","625.49"
"ประจวบคีรีขันธ์","526","0%","1,435","366.55"
"กระบี่","445","0%","1,079","412.42"
"ปราจีนบุรี","376","0%","1,457","258.06"
"ชลบุรี","279","0%","674","413.95"
"นครนายก","230","0%","639","359.94"
"ภูเก็ต","185","0%","448","412.95"
"เชียงราย","62","0%","404","153.47"
"สระบุรี","14","0%","22","636.36"
"นนทบุรี","12","0%","124","96.77"
"สุพรรณบุรี","2","0%","16","125.00"
