ProvinceID,ProvinceName,ProvinceName 2,MinRain,MaxRain,AvgRain,region,Year,Month,Date,Month_TH
10,กรุงเทพมหานคร,Bangkok,54.29999924,257.230011,142.1191368,กลาง,2018,1,1/1/18,มกราคม
11,สมุทรปราการ,Samut Prakan,76.25,256.1000061,137.3020457,กลาง,2018,1,1/1/18,มกราคม
12,นนทบุรี,Nonthaburi,38.36000061,161.4700012,113.4337711,กลาง,2018,1,1/1/18,มกราคม
13,ปทุมธานี,Pathum Thani,51.43999863,116.5,82.90168772,กลาง,2018,1,1/1/18,มกราคม
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,8.850000381,88.58999634,39.96008917,กลาง,2018,1,1/1/18,มกราคม
15,อ่างทอง,Ang Thong,4.389999866,33.93999863,20.62735662,กลาง,2018,1,1/1/18,มกราคม
16,ลพบุรี,Lop Buri,6.519999981,99.48999786,49.08525796,กลาง,2018,1,1/1/18,มกราคม
17,สิงห์บุรี,Sing Buri,4,35.63999939,17.03364554,กลาง,2018,1,1/1/18,มกราคม
18,ชัยนาท,Chai Nat,0.100000001,12.82999992,6.312983375,กลาง,2018,1,1/1/18,มกราคม
19,สระบุรี,Saraburi,23.85000038,73.06999969,47.68537125,กลาง,2018,1,1/1/18,มกราคม
20,ชลบุรี,Chon Buri,10.23999977,178.9400024,66.11927274,ตะวันออก,2018,1,1/1/18,มกราคม
21,ระยอง,Rayong,5.630000114,96.41999817,35.89456572,ตะวันออก,2018,1,1/1/18,มกราคม
22,จันทบุรี,Chanthaburi,60.79999924,127.6100006,82.15799778,ตะวันออก,2018,1,1/1/18,มกราคม
23,ตราด,Trat,66.40000153,99.80000305,73.89954288,ตะวันออก,2018,1,1/1/18,มกราคม
24,ฉะเชิงเทรา,Chachoengsao,53.97000122,196.3699951,139.3048736,ตะวันออก,2018,1,1/1/18,มกราคม
25,ปราจีนบุรี,Prachin Buri,69.56999969,174.2599945,129.1934128,ตะวันออก,2018,1,1/1/18,มกราคม
26,นครนายก,Nakhon Nayok,53.22000122,115.5699997,85.0206417,กลาง,2018,1,1/1/18,มกราคม
27,สระแก้ว,Sa Kaeo,34.22000122,133.3200073,94.91164385,ตะวันออก,2018,1,1/1/18,มกราคม
30,นครราชสีมา,Nakhon Ratchasima,0.230000004,103.0699997,24.99612376,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
31,บุรีรัมย์,Buri Ram,0,65.27999878,9.202656844,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
32,สุรินทร์,Surin,1,17.27000046,8.801188737,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
33,ศรีสะเกษ,Si Sa Ket,0.50999999,8.489999771,3.40245633,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
34,อุบลราชธานี,Ubon Ratchathani,0,3.420000076,0.997288865,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
35,ยโสธร,Yasothon,0.07,2.390000105,0.587118056,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
36,ชัยภูมิ,Chaiyaphum,0,71.18000031,13.48657474,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
37,อำนาจเจริญ,Amnat Charoen,0.100000001,2.670000076,0.673807107,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
38,บึงกาฬ,Bueng Kan,5.869999886,11.21000004,7.780492194,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
39,หนองบัวลำภู,Nong Bua Lam Phu,0.200000003,19.98999977,6.366757688,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
40,ขอนแก่น,Khon Kaen,0.709999979,13.63000011,2.467840152,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
41,อุดรธานี,Udon Thani,0,19.45999908,5.819857202,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
42,เลย,Loei,7.800000191,27.63999939,18.58156997,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
43,หนองคาย,Nong Khai,7.360000134,20.79999924,14.49860382,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
44,มหาสารคาม,Maha Sarakham,0.400000006,3.339999914,1.458970557,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
45,ร้อยเอ็ด,Roi Et,0.109999999,3.690000057,0.895332627,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
46,กาฬสินธุ์,Kalasin,0,2.220000029,0.494788564,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
47,สกลนคร,Sakon Nakhon,0,8.56000042,3.135995062,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
48,นครพนม,Nakhon Phanom,1.730000019,27.29000092,8.525475587,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
49,มุกดาหาร,Mukdahan,0,6.179999828,1.787279816,ตะวันออกเฉียงเหนือ,2018,1,1/1/18,มกราคม
50,เชียงใหม่,Chiang Mai,0.300000012,30.39999962,6.695410436,เหนือ,2018,1,1/1/18,มกราคม
51,ลำพูน,Lamphun,0,8.079999924,4.250428422,เหนือ,2018,1,1/1/18,มกราคม
52,ลำปาง,Lampang,0.02,25.38999939,10.4040333,เหนือ,2018,1,1/1/18,มกราคม
